Fecha,Valor
9/1/1992,671.8
10/1/1992,567.2
11/1/1992,510.8
12/1/1992,229.1
1/1/1993,196.5
2/1/1993,126.3
3/1/1993,272.7
4/1/1993,331.9
5/1/1993,671.1
6/1/1993,707.6
7/1/1993,526.7
8/1/1993,592.5
9/1/1993,616.9
10/1/1993,490.5
11/1/1993,456.9
12/1/1993,404.1
1/1/1994,143.4
2/1/1994,146.3
3/1/1994,320.9
4/1/1994,441.2
5/1/1994,631.4
6/1/1994,766.4
7/1/1994,632.7
8/1/1994,982.6
9/1/1994,512
10/1/1994,406.7
11/1/1994,495.6
12/1/1994,164.2
1/1/1995,98.9
2/1/1995,26.6
3/1/1995,269.3
4/1/1995,360.4
5/1/1995,716.2
6/1/1995,824.1
7/1/1995,908.7
8/1/1995,544.8
9/1/1995,647.9
10/1/1995,595.5
11/1/1995,444.9
12/1/1995,419.5
1/1/1996,456.1
2/1/1996,326.9
3/1/1996,196.2
4/1/1996,488
5/1/1996,820.1
6/1/1996,937.1
7/1/1996,477.4
8/1/1996,580.3
9/1/1996,760
10/1/1996,554.4
11/1/1996,364.8
12/1/1996,280
1/1/1997,176.8
2/1/1997,337.8
3/1/1997,63.9
4/1/1997,411.9
5/1/1997,503.8
6/1/1997,523.5
7/1/1997,517.1
8/1/1997,482.1
9/1/1997,740.9
10/1/1997,392.5
11/1/1997,734.4
12/1/1997,158.9
1/1/1998,98.7
2/1/1998,227.2
3/1/1998,182
4/1/1998,479.1
5/1/1998,542.2
6/1/1998,1019.4
7/1/1998,915.3
8/1/1998,815.9
9/1/1998,821.1
10/1/1998,605.3
11/1/1998,550.2
12/1/1998,431
1/1/1999,216.9
2/1/1999,287.6
3/1/1999,434.5
4/1/1999,520.3
5/1/1999,691.5
6/1/1999,802.2
7/1/1999,610.8
8/1/1999,876.6
9/1/1999,687.2
10/1/1999,641.1
11/1/1999,393.1
12/1/1999,426.3
1/1/2000,154.9
2/1/2000,273.1
3/1/2000,211.4
4/1/2000,404.3
5/1/2000,880.4
6/1/2000,724.2
7/1/2000,632.7
8/1/2000,831.5
9/1/2000,793.7
10/1/2000,618
11/1/2000,413.7
12/1/2000,393.6
1/1/2001,170.8
2/1/2001,60.8
3/1/2001,228.8
4/1/2001,327.8
5/1/2001,847.2
6/1/2001,584.1
7/1/2001,732
8/1/2001,640.4
9/1/2001,930
10/1/2001,578.3
11/1/2001,457.3
12/1/2001,297.1
1/1/2002,242.2
2/1/2002,107.1
3/1/2002,177.7
4/1/2002,258.1
5/1/2002,452.2
6/1/2002,569.4
7/1/2002,839.4
8/1/2002,513.5
9/1/2002,645.7
10/1/2002,546.4
11/1/2002,362
12/1/2002,234.2
1/1/2003,87.4
2/1/2003,171.2
3/1/2003,150.5
4/1/2003,552.7
5/1/2003,845
6/1/2003,708.2
7/1/2003,928.8
8/1/2003,472.7
9/1/2003,646.6
10/1/2003,670.7
11/1/2003,496.6
12/1/2003,255
1/1/2004,130.3
2/1/2004,106.8
3/1/2004,136.7
4/1/2004,283
5/1/2004,772.4
6/1/2004,611.6
7/1/2004,654
8/1/2004,475.5
9/1/2004,522.3
10/1/2004,718.6
11/1/2004,548
12/1/2004,364.8
1/1/2005,152
2/1/2005,28.6
3/1/2005,385.2
4/1/2005,403.9
5/1/2005,459
6/1/2005,768.3
7/1/2005,529.7
8/1/2005,533.2
9/1/2005,594.3
10/1/2005,477.8
11/1/2005,605.7
12/1/2005,257.6
1/1/2006,245.6
2/1/2006,209.1
3/1/2006,392
4/1/2006,426.1
5/1/2006,528.1
6/1/2006,697.5
7/1/2006,672.5
8/1/2006,579.1
9/1/2006,486.4
10/1/2006,505.7
11/1/2006,676.5
12/1/2006,491.7
1/1/2007,311.8
2/1/2007,47.9
3/1/2007,315.3
4/1/2007,743.5
5/1/2007,969.7
6/1/2007,672.4
7/1/2007,804.6
8/1/2007,927.7
9/1/2007,669.9
10/1/2007,499.2
11/1/2007,640.5
12/1/2007,382.1
1/1/2008,133
2/1/2008,237.4
3/1/2008,237.4
4/1/2008,495.9
5/1/2008,503.1
6/1/2008,554.2
7/1/2008,946
8/1/2008,709.2
9/1/2008,499.7
10/1/2008,764.9
11/1/2008,672.1
12/1/2008,236.1
1/1/2009,269.2
2/1/2009,177.4
3/1/2009,218.8
4/1/2009,357.3
5/1/2009,392.1
6/1/2009,575.5
7/1/2009,728
8/1/2009,703.7
9/1/2009,579.4
10/1/2009,528.1
11/1/2009,278.2
12/1/2009,294.2
1/1/2010,104.5
2/1/2010,142.7
3/1/2010,350.5
4/1/2010,404.2
5/1/2010,496.1
6/1/2010,637.3
7/1/2010,1027.2
8/1/2010,617.7
9/1/2010,428.2
10/1/2010,681.6
11/1/2010,563.2
12/1/2010,514.4
1/1/2011,347.6
2/1/2011,118.7
3/1/2011,385.8
4/1/2011,391.5
5/1/2011,694.6
6/1/2011,851.1
7/1/2011,724
8/1/2011,466.9
9/1/2011,557.8
10/1/2011,580.6
11/1/2011,625
12/1/2011,374.3
1/1/2012,228.9
2/1/2012,190.8
3/1/2012,187.6
4/1/2012,395.1
5/1/2012,680.8
6/1/2012,531
7/1/2012,965.1
8/1/2012,575.8
9/1/2012,527.2
10/1/2012,423.9
11/1/2012,461.3
12/1/2012,159.3
1/1/2013,63.7
2/1/2013,176.8
3/1/2013,344.8
4/1/2013,413.1
5/1/2013,637.9
6/1/2013,851.8
7/1/2013,688.5
8/1/2013,764.1
9/1/2013,668.6
10/1/2013,565.3
11/1/2013,376.3
12/1/2013,322.7
1/1/2014,127.2
2/1/2014,169.6
3/1/2014,192.6
4/1/2014,372.2
5/1/2014,657.1
6/1/2014,435.7
7/1/2014,439.6
8/1/2014,766.8
9/1/2014,485.7
10/1/2014,564.4
11/1/2014,419.9
12/1/2014,250.8
1/1/2015,174.5
2/1/2015,219.3
3/1/2015,224
4/1/2015,406.8
5/1/2015,686.6
6/1/2015,601.5
7/1/2015,756.1
8/1/2015,576.3
9/1/2015,466.3
10/1/2015,532.8
11/1/2015,473.4
12/1/2015,250.9
1/1/2016,68.8
2/1/2016,51.8
3/1/2016,128.7
4/1/2016,454.7
5/1/2016,468.7
6/1/2016,696.3
7/1/2016,616
8/1/2016,583
9/1/2016,444
10/1/2016,703.2
11/1/2016,334.1
12/1/2016,355.1
1/1/2017,113.4
2/1/2017,56.5
3/1/2017,341.8
4/1/2017,344.6
5/1/2017,569.3
6/1/2017,707
7/1/2017,570.3
8/1/2017,587.9
9/1/2017,649
10/1/2017,634
11/1/2017,674.4
12/1/2017,231.8
1/1/2018,242
2/1/2018,68.7
3/1/2018,231.1
4/1/2018,354.8
5/1/2018,687
6/1/2018,599.6
7/1/2018,486.4
8/1/2018,483.9
9/1/2018,620
10/1/2018,392.5
11/1/2018,490.6
12/1/2018,127.7
1/1/2019,58.7
2/1/2019,99
3/1/2019,124.6
4/1/2019,328.7
5/1/2019,694.8
6/1/2019,396.5
7/1/2019,707.8
8/1/2019,590.4
9/1/2019,459.7
10/1/2019,449
11/1/2019,279.7
12/1/2019,327.2
1/1/2020,220.4
2/1/2020,72.5
3/1/2020,47
4/1/2020,234.8
5/1/2020,529.2
6/1/2020,353.4
7/1/2020,569.7
8/1/2020,419.2
9/1/2020,739.1
10/1/2020,484.6
11/1/2020,339.4
12/1/2020,303.8
1/1/2021,155.1
2/1/2021,131.2
3/1/2021,268.8
4/1/2021,582.2
5/1/2021,374.4
6/1/2021,389.6
7/1/2021,564.4
8/1/2021,876.4
9/1/2021,428.1
10/1/2021,579.1
11/1/2021,374.7
12/1/2021,170.9
1/1/2022,111.8
2/1/2022,138.1
3/1/2022,288.2
4/1/2022,432
5/1/2022,642.5
6/1/2022,729.8
7/1/2022,908.7
8/1/2022,617.9
9/1/2022,494.9
10/1/2022,476.4
11/1/2022,459.9
12/1/2022,177.9
